file,date,eval_set_size,accuracy,finetuned_blocks,transformer_lr,reg_lr,AUG,HLA,Encoding
ESMMASK_HLA_FT_25_0.0001_0.001_AUG_6_HLAB4601_1.csv,2025-03-03 13:00:15,25,0.48,25,0.0001,0.001,6,HLAB4601,HLA
ESMMASK_HLA_FT_25_0.001_1e-05_AUG_1_HLAA2403_1.csv,2025-03-03 13:32:01,54,0.46296296296296297,25,0.001,1e-05,1,HLAA2403,HLA
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_1_HLAB4601_2.csv,2025-03-02 16:09:41,16,0.3125,25,0.0001,1e-05,1,HLAB4601,epitope
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_6_HLAB5101_1.csv,2025-03-03 15:00:24,92,0.30434782608695654,25,0.0001,1e-06,6,HLAB5101,HLA
ESMMASK_epitope_FT_25_0.0001_0.001_AUG_6_HLAB5101_1.csv,2025-03-03 14:33:35,104,0.2980769230769231,25,0.0001,0.001,6,HLAB5101,epitope
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_6_HLAB3901_1.csv,2025-03-03 15:22:13,47,0.2978723404255319,25,0.0001,1e-06,6,HLAB3901,HLA
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_1_HLAB3501_1.csv,2025-03-03 15:48:18,186,0.27419354838709675,25,0.0001,1e-06,1,HLAB3501,HLA
ESMMASK_epitope_FT_15_0.001_0.001_AUG_3_HLAA2403_4.csv,2025-03-03 15:14:51,46,0.2608695652173913,15,0.001,0.001,3,HLAA2403,epitope
ESMMASK_HLA_FT_25_0.0001_0.001_AUG_3_HLAA0101_2.csv,2025-03-03 15:20:38,192,0.2604166666666667,25,0.0001,0.001,3,HLAA0101,HLA
ESMMASK_epitope_FT_25_0.001_1e-05_AUG_6_HLAA0101_2.csv,2025-03-03 14:19:54,200,0.26,25,0.001,1e-05,6,HLAA0101,epitope
ESMMASK_HLA_FT_25_0.001_1e-05_AUG_3_HLAA2601_2.csv,2025-03-03 15:07:47,124,0.25806451612903225,25,0.001,1e-05,3,HLAA2601,HLA
ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_1_HLAB5701_1.csv,2025-03-03 14:59:48,89,0.24719101123595505,25,0.0001,1e-05,1,HLAB5701,HLA
ESMMASK_epitope_FT_25_0.001_0.001_AUG_6_HLAA1101_1.csv,2025-03-03 15:20:59,452,0.24557522123893805,25,0.001,0.001,6,HLAA1101,epitope
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_6_HLAA0202_1.csv,2025-03-03 16:00:04,351,0.24216524216524216,25,0.0001,1e-05,6,HLAA0202,epitope
ESMMASK_epitope_FT_25_0.001_0.001_AUG_3_HLAB1501_2.csv,2025-03-03 15:33:30,266,0.24060150375939848,25,0.001,0.001,3,HLAB1501,epitope
ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_3_HLAA3001_4.csv,2025-03-03 14:18:43,122,0.23770491803278687,25,0.0001,1e-06,3,HLAA3001,epitope
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_1_HLAB1517_1.csv,2025-03-03 14:47:40,85,0.23529411764705882,25,0.0001,1e-06,1,HLAB1517,HLA
ESMMASK_epitope_FT_25_0.001_0.001_AUG_3_HLAB0801_4.csv,2025-03-03 16:03:23,190,0.22631578947368422,25,0.001,0.001,3,HLAB0801,epitope
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_6_HLAB1801_1.csv,2025-03-03 14:52:22,71,0.22535211267605634,25,0.0001,1e-05,6,HLAB1801,epitope
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_3_HLAB4402_2.csv,2025-03-03 14:16:48,129,0.2248062015503876,25,0.0001,1e-06,3,HLAB4402,HLA
ESMMASK_epitope_FT_15_0.0001_0.001_AUG_6_HLAB5801_4.csv,2025-03-03 16:00:28,143,0.22377622377622378,15,0.0001,0.001,6,HLAB5801,epitope
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_6_HLAB1517_2.csv,2025-03-03 15:56:19,85,0.2235294117647059,25,0.0001,1e-05,6,HLAB1517,epitope
ESMMASK_HLA_FT_25_0.0001_0.001_AUG_1_HLAA0301_1.csv,2025-03-03 15:51:30,457,0.22319474835886213,25,0.0001,0.001,1,HLAA0301,HLA
ESMMASK_epitope_FT_5_0.001_1e-05_AUG_1_HLAB3501_1.csv,2025-03-02 22:25:00,186,0.22043010752688172,5,0.001,1e-05,1,HLAB3501,epitope
ESMMASK_HLA_FT_25_0.0001_0.001_AUG_1_HLAB0801_1.csv,2025-03-03 15:32:10,167,0.2155688622754491,25,0.0001,0.001,1,HLAB0801,HLA
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_1_HLAA2902_1.csv,2025-03-03 14:51:07,140,0.21428571428571427,25,0.0001,1e-06,1,HLAA2902,HLA
ESMMASK_epitope_FT_25_0.001_0.001_AUG_3_HLAB0702_1.csv,2025-03-03 15:59:46,245,0.20816326530612245,25,0.001,0.001,3,HLAB0702,epitope
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_6_HLAB4402_2.csv,2025-03-03 14:39:36,111,0.2072072072072072,25,0.0001,1e-05,6,HLAB4402,epitope
ESMMASK_epitope_FT_25_0.001_0.001_AUG_6_HLAA0301_1.csv,2025-03-03 15:34:02,454,0.20704845814977973,25,0.001,0.001,6,HLAA0301,epitope
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_3_HLAA6901_2.csv,2025-03-03 15:58:50,59,0.2033898305084746,25,0.0001,1e-05,3,HLAA6901,epitope
ESMMASK_HLA_FT_25_0.001_1e-05_AUG_1_HLAB0702_2.csv,2025-03-03 14:20:40,237,0.20253164556962025,25,0.001,1e-05,1,HLAB0702,HLA
ESMMASK_HLA_FT_25_0.001_0.001_AUG_3_HLAA1101_2.csv,2025-03-03 15:53:42,511,0.20156555772994128,25,0.001,0.001,3,HLAA1101,HLA
ESMMASK_epitope_FT_25_0.001_1e-05_AUG_1_HLAA6801_2.csv,2025-03-03 15:05:17,343,0.20116618075801748,25,0.001,1e-05,1,HLAA6801,epitope
ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_1_HLAA0206_2.csv,2025-03-03 14:20:26,400,0.1975,25,0.0001,1e-06,1,HLAA0206,epitope
ESMMASK_epitope_FT_25_0.001_0.001_AUG_6_HLAA0203_2.csv,2025-03-03 15:15:05,391,0.1969309462915601,25,0.001,0.001,6,HLAA0203,epitope
ESMMASK_epitope_FT_25_0.001_1e-05_AUG_6_HLAA6802_2.csv,2025-03-03 14:39:11,332,0.19578313253012047,25,0.001,1e-05,6,HLAA6802,epitope
ESMMASK_HLA_FT_25_0.0001_0.001_AUG_6_HLAB1501_1.csv,2025-03-03 15:35:38,236,0.19491525423728814,25,0.0001,0.001,6,HLAB1501,HLA
ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_1_HLAA6801_2.csv,2025-03-03 15:41:15,369,0.19241192411924118,25,0.0001,1e-05,1,HLAA6801,HLA
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_6_HLAA6802_2.csv,2025-03-03 15:16:57,356,0.19101123595505617,25,0.0001,1e-06,6,HLAA6802,HLA
ESMMASK_epitope_FT_25_0.001_1e-05_AUG_6_HLAA3002_2.csv,2025-03-03 14:22:09,119,0.18487394957983194,25,0.001,1e-05,6,HLAA3002,epitope
ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_3_HLAA2402_2.csv,2025-03-03 14:36:54,187,0.18181818181818182,25,0.0001,1e-06,3,HLAA2402,epitope
ESMMASK_epitope_FT_15_0.0001_1e-05_AUG_1_HLAA2601_5.csv,2025-03-03 14:51:08,118,0.17796610169491525,15,0.0001,1e-05,1,HLAA2601,epitope
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_1_HLAA2902_2.csv,2025-03-03 15:03:59,126,0.1746031746031746,25,0.0001,1e-05,1,HLAA2902,epitope
ESMMASK_HLA_FT_25_0.001_1e-06_AUG_1_HLAA3002_1.csv,2025-03-03 15:24:48,117,0.17094017094017094,25,0.001,1e-06,1,HLAA3002,HLA
ESMMASK_HLA_FT_25_0.001_1e-05_AUG_1_HLAA0203_2.csv,2025-03-03 15:53:16,435,0.167816091954023,25,0.001,1e-05,1,HLAA0203,HLA
ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_3_HLAA0202_1.csv,2025-03-03 15:26:11,341,0.16715542521994134,25,0.0001,1e-05,3,HLAA0202,HLA
ESMMASK_epitope_FT_20_0.0001_1e-05_AUG_3_HLAA3301_5.csv,2025-03-03 14:56:50,182,0.16483516483516483,20,0.0001,1e-05,3,HLAA3301,epitope
ESMMASK_epitope_FT_25_0.001_1e-05_AUG_1_HLAB5701_2.csv,2025-03-03 14:39:24,87,0.16091954022988506,25,0.001,1e-05,1,HLAB5701,epitope
ESMMASK_HLA_FT_25_0.0001_0.001_AUG_1_HLAA2301_1.csv,2025-03-03 15:57:09,109,0.1559633027522936,25,0.0001,0.001,1,HLAA2301,HLA
ESMMASK_HLA_FT_25_0.0001_0.001_AUG_1_HLAA3001_2.csv,2025-03-03 14:29:48,135,0.15555555555555556,25,0.0001,0.001,1,HLAA3001,HLA
ESMMASK_HLA_FT_25_0.001_0.001_AUG_1_HLAA0206_2.csv,2025-03-03 14:35:01,379,0.15303430079155672,25,0.001,0.001,1,HLAA0206,HLA
ESMMASK_HLA_FT_25_0.001_1e-06_AUG_1_HLAA3301_1.csv,2025-03-03 15:05:56,169,0.1301775147928994,25,0.001,1e-06,1,HLAA3301,HLA
ESMMASK_HLA_FT_25_0.001_0.001_AUG_3_HLAB5801_1.csv,2025-03-03 14:34:52,124,0.11290322580645161,25,0.001,0.001,3,HLAB5801,HLA
